PaperID;Index;Stressor;Effect;Endpoint;Species;Year;Authors;Title;Abstract;DOI;Quote;Location;Lat;Long;Approach category;Approach;Life stage;Direction;Interactions (Y/N);"Intereaction (none; synergistic; antagonistic)";Notes;Notes_anc;Notes_gh;;;;;;;;;;;;
Aas1998a;a;Contaminants, contamination, plastics;Disease/illness;haddock (Melanogrammus aeglefinus);haddock (Melanogrammus aeglefinus);1998;Aas, E and Klungsoyr, J;PAH metabolites in bile and EROD activity in North Sea fish;Atlantic cod (Gadus morhua), haddock (Melanogrammus aeglefinus), and long rough dab (Hippoglossoides platessoides) were sampled from areas with oil production in the North Sea. Egersundbanken, an area,without oil production, was used as a reference site. Ethoxyresorufin-O-deethylase (EROD) activity was measured in liver to estimate cytochrome P4501A levels. Bile was analysed by fixed wavelength fluorescence (FF) detection for polyaromatic hydrocarbon (PAH) metabolites. No increased levels of EROD activity were detected in fish caught in the vicinity of oil production fields, when compared to the reference site, Egersundbanken, No differences in levels of PAH metabolites in bile rr ere detected between the stations for any of the species. Therefore, contamination from 2-5 ring PAH compounds in the vicinity of oil,fields in the North Sea way not be of great concern for these fish species. (C) 1998 Published by Elsevier Science Ltd. All rights reserved.;10.1016/S0141-1136(97)00035-4;"""In summary, EROD activity did not show increased levels in fish caught in the vicinity of
oil production fields, when compared to Egersundbanken. No differences in levels of PAH
metabolites (2-5 ring structures) in bile were detected between the stations in any of the fish
sampled. This could indicate that contamination from these PAH compounds near oil fields
in the North Sea, should not be of great concern in these fish species. """;Norwegian North Sea;59,66;4,89;Survey;Fish from a diversity of stations including 3 near oil platforms and one as a reference point removed from oil drilling activity. Bile and liver analyses were conducted to detect hydrocarbon contamination and EROD activity associated with metabolizing or immunity response to contaminants.;Adult;Insignificant;N;;PAHs presumedly present in environment, but no signs in fish species in area.;If no signs in fish, why disease/illness effect?;Inspected for disease, found none;;;;;;;;;;;;
Akimova2016a;a;Other climate;Reproduction/Recruitment;Sprat (Sprattus sprattus);Sprat (Sprattus sprattus);2016;Akimova, Anna and Nunez-Riboni, Ismael and Kempf, Alexander and Taylor, Marc H.;Spatially-Resolved Influence of Temperature and Salinity on Stock and Recruitment Variability of Commercially Important Fishes in the North Sea;Understanding of the processes affecting recruitment of commercially important fish species is one of the major challenges in fisheries science. Towards this aim, we investigated the relation between North Sea hydrography (temperature and salinity) and fish stock variables (recruitment, spawning stock biomass and pre-recruitment survival index) for 9 commercially important fishes using spatially-resolved cross-correlation analysis. We used high-resolution (0.2 degrees x 0.2 degrees) hydrographic data fields matching the maximal temporal extent of the fish population assessments (1948-2013). Our approach allowed for the identification of regions in the North Sea where environmental variables seem to be more influential on the fish stocks, as well as the regions of a lesser or nil influence. Our results confirmed previously demonstrated negative correlations between temperature and recruitment of cod and plaice and identified regions of the strongest correlations (German Bight for plaice and north-western North Sea for cod). We also revealed a positive correlation between herring spawning stock biomass and temperature in the Orkney-Shetland area, as well as a negative correlation between sole pre-recruitment survival index and temperature in the German Bight. A strong positive correlation between sprat stock variables and salinity in the central North Sea was also found. To our knowledge the results concerning correlations between North Sea hydrography and stocks' dynamics of herring, sole and sprat are novel. The new information about spatial distribution of the correlation provides an additional help to identify mechanisms underlying these correlations. As an illustration of the utility of these results for fishery management, an example is provided that incorporates the identified environmental covariates in stock-recruitment models.;10.1371/journal.pone.0161917;"""Our analyses revealed a positive correlation between salinity and two sprat stock variables: recruitment and spawning stock biomass. Both stock variables are highly correlated with each other (P(τ = 0) = 0.72). Since sprat is a short-lived species, the 0-group fishes are believed to comprise a significant proportion of the total biomass [13]. Therefore it is unclear whether sprat SSBsp drives the variability of sprat Rsp in the North Sea or Rsp contributes to the variability of SSBsp. A significant correlation between salinity and sprat SSBsp was found in the western North Sea (Fig 6A). This area overlaps with known spawning areas of sprat [104], [109], [110]. The region of significant correlation with sprat Rsp covers the whole central and southern North Sea (Fig 7A), coinciding with main nursery area of the North Sea sprat [111], [112]."" ""However, it seems unlikely that salinity affects the sprat distribution or growth directly, because sprat is known to tolerate a wide range of salinities and inhabits waters from the Mediterranean to the Baltic Seas [25], [118]. We rather suggest that salinity is a tracer of other biotic or abiotic conditions that seem to be important for sprat. European sprat is strictly planktivorous during its whole life cycle [98], [99], [119], and therefore should be sensitive to changes in the amount/composition of zooplankton in the North Sea. As we already mentioned, Atlantic water inflow is known to affect zooplankton composition in the North Sea [31], [62], [64]. Rivers discharge nutrient rich waters and strongly affect water stratification in the North Sea [117], both are important factors influencing primary and secondary productivity""";North Sea;55,94;3,39;Model;Maps of temperature and salinity were retrieved from the Adjusted Hydrography Optimal Interpolation (AHOI), which reconstructs the North Sea's hydrography. These maps were related in time and space to surveyed recruitment, fishing mortality, and spawning stock biomass of key species, including sprat.;Juvenile, Adult;Positive;N;;Observed positive trend is based on salinity rather than temperature.;They say unlikely direct effect but indirect through zooplankton. We need to decide on a rule on how to deal with this.;;;;;;;;;;;;;
Akimova2016a;a;Warming, temperature;Reproduction/Recruitment;cod (Gadus morhua);cod (Gadus morhua);2016;Akimova, Anna and Nunez-Riboni, Ismael and Kempf, Alexander and Taylor, Marc H.;Spatially-Resolved Influence of Temperature and Salinity on Stock and Recruitment Variability of Commercially Important Fishes in the North Sea;Understanding of the processes affecting recruitment of commercially important fish species is one of the major challenges in fisheries science. Towards this aim, we investigated the relation between North Sea hydrography (temperature and salinity) and fish stock variables (recruitment, spawning stock biomass and pre-recruitment survival index) for 9 commercially important fishes using spatially-resolved cross-correlation analysis. We used high-resolution (0.2 degrees x 0.2 degrees) hydrographic data fields matching the maximal temporal extent of the fish population assessments (1948-2013). Our approach allowed for the identification of regions in the North Sea where environmental variables seem to be more influential on the fish stocks, as well as the regions of a lesser or nil influence. Our results confirmed previously demonstrated negative correlations between temperature and recruitment of cod and plaice and identified regions of the strongest correlations (German Bight for plaice and north-western North Sea for cod). We also revealed a positive correlation between herring spawning stock biomass and temperature in the Orkney-Shetland area, as well as a negative correlation between sole pre-recruitment survival index and temperature in the German Bight. A strong positive correlation between sprat stock variables and salinity in the central North Sea was also found. To our knowledge the results concerning correlations between North Sea hydrography and stocks' dynamics of herring, sole and sprat are novel. The new information about spatial distribution of the correlation provides an additional help to identify mechanisms underlying these correlations. As an illustration of the utility of these results for fishery management, an example is provided that incorporates the identified environmental covariates in stock-recruitment models.;10.1371/journal.pone.0161917;"""A negative correlation between cod recruitment and temperature has been reported previously based on the analyses of spatially averaged SST and recruitment time series (e.g., [19], [17], [53]). Various hypothesis on underlying mechanism have been proposed: match-mismatch between first-feeding larvae and zooplankton production [54], temperature related changes in zooplankton community and its productivity [55], [34] and direct effects of temperature on growth and survival of cod eggs and larvae [56], [57]. Beside bottom-up controls, top-down processes have been proposed, e.g. through changes in abundance of key predators [58] or in the predator-prey spatial overlap [59], [60].

Our study confirms previously reported strong negative correlation between cod recruitment and temperature in JFM (Fig 2).""";North Sea;55,94;3,39;Model;Maps of temperature and salinity were retrieved from the Adjusted Hydrography Optimal Interpolation (AHOI), which reconstructs the North Sea's hydrography. These maps were related in time and space to surveyed recruitment, fishing mortality, and spawning stock biomass of key species, including sprat.;Adult;Negative;N;;Only 20% of recruitment variance is explained by temperature variability.;Ok;;;;;;;;;;;;;
Akimova2016a;a;Warming, temperature;Reproduction/Recruitment;herring (Clupea harengus);herring (Clupea harengus);2016;Akimova, Anna and Nunez-Riboni, Ismael and Kempf, Alexander and Taylor, Marc H.;Spatially-Resolved Influence of Temperature and Salinity on Stock and Recruitment Variability of Commercially Important Fishes in the North Sea;Understanding of the processes affecting recruitment of commercially important fish species is one of the major challenges in fisheries science. Towards this aim, we investigated the relation between North Sea hydrography (temperature and salinity) and fish stock variables (recruitment, spawning stock biomass and pre-recruitment survival index) for 9 commercially important fishes using spatially-resolved cross-correlation analysis. We used high-resolution (0.2 degrees x 0.2 degrees) hydrographic data fields matching the maximal temporal extent of the fish population assessments (1948-2013). Our approach allowed for the identification of regions in the North Sea where environmental variables seem to be more influential on the fish stocks, as well as the regions of a lesser or nil influence. Our results confirmed previously demonstrated negative correlations between temperature and recruitment of cod and plaice and identified regions of the strongest correlations (German Bight for plaice and north-western North Sea for cod). We also revealed a positive correlation between herring spawning stock biomass and temperature in the Orkney-Shetland area, as well as a negative correlation between sole pre-recruitment survival index and temperature in the German Bight. A strong positive correlation between sprat stock variables and salinity in the central North Sea was also found. To our knowledge the results concerning correlations between North Sea hydrography and stocks' dynamics of herring, sole and sprat are novel. The new information about spatial distribution of the correlation provides an additional help to identify mechanisms underlying these correlations. As an illustration of the utility of these results for fishery management, an example is provided that incorporates the identified environmental covariates in stock-recruitment models.;10.1371/journal.pone.0161917;"""Our analysis yielded a positive correlation between herring SSBh and temperature at lag 0 (Fig 3) and negative correlation between temperature and Rh/SSBh at the same lag (not shown). The correlation analysis of herring stock variables showed that the variability of Rh/SSBh is mainly driven by the variability of SSBh and not by the variability of Rh (see ‘Atlantic herring and temperature‘). Therefore we believe that the correlation between herring pre-recruitment survival index Rh/SSBh and temperature is due to the correlation between SSBh and temperature and focus our discussion on the later relationship.

Although no correlation between herring spawning stock biomass and temperature has been previously reported, results of some early studies indirectly indicated such relation.""";North Sea;55,94;3,39;Model;Maps of temperature and salinity were retrieved from the Adjusted Hydrography Optimal Interpolation (AHOI), which reconstructs the North Sea's hydrography. These maps were related in time and space to surveyed recruitment, fishing mortality, and spawning stock biomass of key species, including sprat.;Adult;Positive;N;;Fishing and temperature exert equivalent influences, worth noting that the temperature in question is time lagged.;Ok;;;;;;;;;;;;;
Albert2025a;a;Acidification;Growth/metabolism;Seaweed & Seagrass;Ulva intestinalis, Cladophora glomerata;2025;Albert, Gerli and Hall, Jack R. and Pajusalu, Liina and Twigg, Isla M. and Wenley, Jess and Martin, Georg;The effect of water motion and elevated carbon on two green algae Ulva intestinalis and Cladophora glomerata DIC acquisition and DOC release in the brackish Baltic Sea;Macrophytes play a key role in coastal environments, acting to transform inorganic carbon into biologically available organic matter. This process supports the marine food web at large, however, the dynamics behind macrophyte carbon acquisition are not fully understood with factors influencing their ability to utilize different carbon forms (HCO3- and/or CO2) and subsequent release mechanics of this carbon remaining rather poorly understood. This study aims to investigate the physiological responses of two important Baltic Sea macrophytes, Ulva intestinalis and Cladophora glomerata. By examining the effects of pH drift inhibitors, coupled with carbon-concentrating mechanisms (CCMs) and dissolved organic carbon (DOC) dynamics, we provide insights into the complex adaptations of these macroalgae to changing environmental conditions. The results demonstrate that both species exhibit distinct capabilities to adapt their carbon concentration mechanisms (CCMs) but suggest that C. glomerata may potentially gain a photosynthetic advantage in future high CO2. The observed differences between pH and water motion highlight species-specific nuances in the regulation of dissolved organic carbon (DOC) release, aligning with current theories on DOC dynamics. This research underscores the importance of understanding macroalgal adaptation and fitness in both present and future coastal ecosystems, particularly as environmental changes continue to evolve. By examining these factors, the study contributes valuable insights into how macroalgae may respond to future climate shifts.;10.1080/09670262.2024.2441365;"""Our findings indicate that U. intestinalis exhibited higher Pmax values under present-day pH conditions (pH 8.2), while both species showed reduced photosynthetic rates at elevated CO₂ and lower pH levels. This suggests that U. intestinalis may be better adapted to current environmental conditions than C. glomerata. This could be linked to its efficient DIC uptake, which was approximately 50% higher at pH 8.2, as indicated by its lower K0.5 values. Such efficiency under present-day conditions implies that U. intestinalis may be less reliant on future increases in CO₂ availability to optimize photosynthesis, a key factor for understanding its adaptability to ongoing ocean acidification.

In contrast, C. glomerata exhibited improved DIC uptake efficiency in the high CO₂ and low pH treatment (pH 7.6) when water motion was present, suggesting that this species may have a greater potential to benefit from future elevated CO2 concentrations. Water motion appeared to play a more prominent role in enhancing photosynthesis in C. glomerata compared with U. intestinalis, pointing to species-specific differences in their reliance on external factors to optimize carbon acquisition. The fact that both species maintained high photosynthetic capacities even in the absence of water motion underscores their adaptability to different environmental conditions, consistent with their natural habitats where water movement can vary significantly. This flexibility could allow both species to cope with the intermittent periods of calm water they may encounter in coastal ecosystems.""";Estonian Baltic Sea;58,54;22,26;Lab;Full factorial controlled lab experiment examining the effect of 2 pH levels and 2 levels of water motion (Kiel Outdoor Benthocosm, KOB).;Adult;Mixed;N;;Species specific influence of pH, with the Ulva species being better adapted to present day pH conditions and threatened by future conditions, while the Cladophora species was the opposite.;Ok;;;;;;;;;;;;;
Alguero-Muniz2017a;a;Acidification;Community (e.g.  composition,  biodiversity);Zooplankton;Pseudocalanus acuspes;2017;Alguero-Muniz, Maria and Alvarez-Fernandez, Santiago and Thor, Peter and Bach, Lennart T. and Esposito, Mario and Horn, Henriette G. and Ecker, Ursula and Langer, Julia A. F. and Taucher, Jan and Malzahn, Arne M. and Riebesell, Ulf and Boersma, Maarten;Ocean acidification effects on mesozooplankton community development: Results from a long-term mesocosm experiment;Ocean acidification may affect zooplankton directly by decreasing in pH, as well as indirectly via trophic pathways, where changes in carbon availability or pH effects on primary producers may cascade up the food web thereby altering ecosystem functioning and community composition. Here, we present results from a mesocosm experiment carried out during 113 days in the Gullmar Fjord, Skagerrak coast of Sweden, studying plankton responses to predicted end-of-century pCO(2) levels. We did not observe any pCO(2) effect on the diversity of the mesozooplankton community, but a positive pCO(2) effect on the total mesozooplankton abundance. Furthermore, we observed species-specific sensitivities to pCO(2) in the two major groups in this experiment, copepods and hydromedusae. Also stage-specific pCO(2) sensitivities were detected in copepods, with copepodites being the most responsive stage. Focusing on the most abundant species, Pseudocalanus acuspes, we observed that copepodites were significantly more abundant in the high-pCO(2) treatment during most of the experiment, probably fuelled by phytoplankton community responses to high-pCO(2) conditions. Physiological and reproductive output was analysed on P. acuspes females through two additional laboratory experiments, showing no pCO(2) effect on females' condition nor on egg hatching. Overall, our results suggest that the Gullmar Fjord mesozooplankton community structure is not expected to change much under realistic end-of-century OA scenarios as used here. However, the positive pCO(2) effect detected on mesozooplankton abundance could potentially affect biomass transfer to higher trophic levels in the future.;10.1371/journal.pone.0175851;"""During this winter-to-summer experiment on the effect of ocean acidification on plankton communities, we did not detect an effect of pCO2 on either the diversity of the mesozooplankton community, nor on its development as a whole. At first sight, this may seem surprising as some taxa showed a response to OA, where others did not. The most parsimonious explanation for this apparent contradiction is the strong dominance of the copepod P. acuspes. As a result, changes in the relative composition of the community were small and were not be picked up by relatively coarse indicators such as Simpson’s Diversity or rank-based methods such as NMDS. Only on the last two sampling days, when P. acuspes abundances declined strongly, a trend towards a higher diversity under high-pCO2 conditions became visible (Figs 2B and 3), and the communities under the two treatments diverged (observed also for microzooplankton [48]). Potentially this indicates a long-term effect of high pCO2 on the communities, but this is impossible to say as, at that time the mesocosm set-up started to deteriorate and the experiment was terminated.""";Swedish Skagerrak;58,22;11,33;Field;Utilized field-deployed mesocosms enriched with CO2 as a means to study the effect of end of century acidification levels. CTD, water column, net haul, and sediment sampling was conducted throughout the approximately 4 month study period.;Adult;Insignificant;N;;Whole community composition evaluated with a slight trend towards increased diversity under high pCO2, but only emerged when the dominant copepod declined in abundance (natural seasonal cycle).;Ok;;;;;;;;;;;;;
Alheit1997a;a;Other climate;Geographical range/seasonality;herring (Clupea harengus);herring (Clupea harengus);1997;Alheit, J and Hagen, E;Long-term climate forcing of European herring and sardine populations;Records of the herring, Clupea harengus, fishery off the Swedish coast of Bohuslan, in the Skagerrak, date back to the 10th century. Nine periods, each lasting several decades, are known during which large quantities of herring were caught close to the short. In the 1895-96 season, more than 200 000 tonnes were landed. During the `interim' periods, which stretched over 50 or more years, the herring fishery played little role in the economy of this region. Several other herring fisheries in European waters overlap with recent Bohuslan periods whereas the Norwegian spring-spawning herring and some sardine, Sardina pilchardus, fisheries exhibit alternating periods. A study of the climatological/hydrographic scenario of all Bohuslan periods and those of herring in the English Channel and the Bay of Biscay showed that, on a decadal scale, they coincided with times when there was a strong ice cover off Iceland, severe winters in western Europe with extremely cold air and water temperatures, a reduction of westerly winds as indicated by negative anomalies in the North Atlantic Oscillation (NAO) index and a minimum of south-westerly winds over England in response to meridional migrations of the belt of westerly winds. Periods of the Norwegian spring-spawning herring and sardines in the English Channel coincided with inverse climatological/hydrographic situations. It is concluded that climate variation governed the alternating herring and sardine periods.;10.1046/j.1365-2419.1997.00035.x;"""Group 1 periods: BOW is in the south, cold tem-peratures at mid- and higher latitudes of the easternNorth Atlantic, SSTA < 0, increased ice cover offIceland and in the northern Baltic Sea, NAO indexnegative with reduced westerly winds, minimum fre-quency of south-westerly winds over England and coldwater in the North Sea, English Channel and in theSkagerrak. This situation favours Bohusla»n herring,and herring off south-western England, in the easternEnglish Channel and in the Bay of Biscay.Group 2 periods: BOW is in the north, warm tem-peratures at mid- and higher latitudes of the easternNorth Atlantic, SSTA > 0, no strong ice cover offIceland, NAO index positive with intensiÆed westerlywinds, increasing frequency of south-westerly windsover England and relatively warm water in the NorthSea, English Channel and in the Skagerrak. This fa-vours Norwegian spring-spawning herring and sardinesoff south-western England and in the English Channel.""";Swedish Skagerrak;58,46;11,08;Model;Historical reconstruction relating Bohuslån herring landings to the NAO index.;;Mixed;N;;Different populations of herring and different stocks (herring vs sardines) benefit from different NAO indices. However, climate change and fishing appear to be altering the cycle as a whole because we have had conditions that should be associated with Bohuslan herring, but have not observed the expected boom.;Ok;;;;;;;;;;;;;
Allen2007a;a;Trawling;;Phytoplankton;;2007;Allen, J. I. and Clarke, K. R.;Effects of demersal trawling on ecosystem functioning in the North Sea: a modelling study;Demersal trawling causes chronic and widespread disturbance to the seabed in shallow shelf seas potentially leading to changes in function and trophic structure of benthic communities and with important implications for the processing of primary production and the wider functioning of the marine ecosystem. We used a coupled physical-ecological model (the European Regional Seas Ecosystem Model (ERSEM) with the General Ocean Turbulence Model (GOTM)) to investigate the impact of demersal trawling on the benthic and pelagic ecosystems of generic stratified and unstratified water columns in the central North Sea. Perturbation experiments were used to simulate trawling events using estimates of mortality of benthic fauna caused by different fishing gears in different habitats, derived from a meta-analysis of over 100 trawling disturbance experiments reported in the literature. The results suggest that the biogeochemical impact of demersal trawling is most significant in regions where gear type, trawl frequency and bed type cause high levels of filter feeder mortality. This results in substantially increased oxygen content of the benthic system and significant changes in its biogeochemistry (increased phosphorus absorption, increased nitrification of ammonia, reduced silicate cycling). The impacts of these changes on the overlying pelagic ecosystem are, however, buffered by the physical environment and the ability of phytoplankton to vary their internal cell nutrient contents. Analysis of recovery of the benthic system on complete cessation of demersal trawling suggests that the system will return to its original state within 5 yr, except in extreme cases where the deposit or filter feeder function is effectively removed, when a permanent change in the function of the benthic ecosystem may result.;10.3354/meps336063;;;;;Model;;;;;;Exclude, phytoplankton considered as a supporting analysis, ie how phytoplankton buffers trawling impacts, rather than as an endpoint.;Ok;;;;;;;;;;;;;
Almen2014a;a;Acidification;Survival/Mortality;Zooplankton;;2014;Almen, Anna-Karin and Vehmaa, Anu and Brutemark, Andreas and Engstrom-Ost, Jonna;Coping with climate change? Copepods experience drastic variations in their physicochemical environment on a diurnal basis;Migratory zooplankton, such as copepods experience widely varying conditions in their physicochemical environment on a diurnal basis. The amplitude of the fluctuations may affect the copepods' ability to respond to climate change. The environment in coastal areas is naturally fluctuating and the effects of ocean acidification are difficult to predict. Negative effects on copepods may affect the whole food web as they are the most abundant zooplankton, constituting a major part of the diet of fish. In this study, we determined the vertical profiles of an array of environmental variables and the vertical distribution of common copepods in a shallow coastal area of the Baltic Sea. We sampled once a month, in June, July and August, every sixth hour during 24 h. We found that copepods experience a change in pH of more than 0.5 units and 5 degrees C change in temperature during migration. Thus, on diurnal time scales copepods experience a range in their physicochemical environment that is equal to or larger than the predicted climate change scenarios. (C) 2014 Elsevier B.V. All rights reserved.;10.1016/j.jembe.2014.07.001;"""Coastal copepods are experiencing a range of variation in their physicochemical environment that is equal to or larger than the predicted climate change for the year 2100. It is likely that copepods, inhabiting such a fluctuating environment, are, at least to some extent, adapted to short-term variability in temperature and pH. However, sudden changes in the environment might induce stress in the copepods. Species, stage-specific differences and drastic changes in the amplitude on local scales may outpace the copepods' ability to adapt and bring them close to their physiological tolerance limits.""";Finnish Baltic;59,80;23,22;Survey;Vertical profiles of both biota and environmental variables are constructed through tows and watersampling at regular depth intervals.;Adult;Insignificant;N;;Natural variability exceeds projected mean changes when it comes to pH. Species and populations living close to their limits may still be impacted.;Why survival/mortality?;Looking for lethal/sublethal effects on plankton that could affect persistance;;;;;;;;;;;;
Almen2016a;a;Acidification;Reproduction/Recruitment;Zooplankton;Eurytemora affinis;2016;Almen, Anna-Karin and Vehmaa, Anu and Brutemark, Andreas and Bach, Lennart and Lischka, Silke and Stuhr, Annegret and Furuhagen, Sara and Paul, Allanah and Bermudez, J. Rafael and Riebesell, Ulf and Engstrom-Ost, Jonna;Negligible effects of ocean acidification on Eurytemora affinis (Copepoda) offspring production;Ocean acidification is caused by increasing amounts of carbon dioxide dissolving in the oceans leading to lower seawater pH. We studied the effects of lowered pH on the calanoid copepod Eurytemora affinis during a mesocosm experiment conducted in a coastal area of the Baltic Sea. We measured copepod reproductive success as a function of pH, chlorophyll a concentration, diatom and dinoflagellate biomass, carbon to nitrogen (C : N) ratio of suspended particulate organic matter, as well as copepod fatty acid composition. The laboratory-based experiment was repeated four times during 4 consecutive weeks, with water and copepods sampled from pelagic mesocosms enriched with different CO2 concentrations. In addition, oxygen radical absorbance capacity (ORAC) of animals from the mesocosms was measured weekly to test whether the copepod's defence against oxidative stress was affected by pH. We found no effect of pH on offspring production. Phytoplankton biomass, as indicated by chlorophyll a concentration and dinoflagellate biomass, had a positive effect. The concentration of polyunsaturated fatty acids in the females was reflected in the eggs and had a positive effect on offspring production, whereas monounsaturated fatty acids of the females were reflected in their eggs but had no significant effect. ORAC was not affected by pH. From these experiments we conclude that E. affinis seems robust against direct exposure to ocean acidification on a physiological level, for the variables covered in the study. E. affinis may not have faced acute pH stress in the treatments as the species naturally face large pH fluctuations.;10.5194/bg-13-1037-2016;"""Experimental CO2 concentrations did not affect the nauplii
production of E. affinis in the current study. However, nauplii
production in our incubations corresponded well with patterns of nauplii abundance observed in the mesocosm bags.
The total number of copepods in the mesocosms showed no
significant relation with CO2 either""";Finnish Baltic;59,81;23,30;Field;Mesocosms were established using 17m deep bags capturing the naturally occuring plankton community. CO2 was pumped in to create acidification treatments. Sampling for nutrient parameters and netting to assess copepod life stages was conducted regularly.;Adult;Insignificant;N;;;Ok;;;;;;;;;;;;;
